key,name,emoji,category,price,description
cons_alette_drago,Alette di Drago croccanti,🐉,specialita,500,Croccanti fuori fumanti dentro.
cons_coda_drago,Coda di Drago alla brace,🔥,specialita,600,Un taglio pregiato per palati coraggiosi.
cons_occhi_drago,Occhi di Drago al sugo,👁️,specialita,450,Ti guardano mentre li mangi.
cons_caloriemate,CalorieMate,🍫,snack,200,Razione energetica da vero agente.
cons_pizza_pacman,Pizza Pac-Man,🍕,snack,300,Waka waka waka.
cons_super_fungo,Super Fungo,🍄,snack,250,Crescita miracolosa garantita.
cons_latte_mandorla,Latte di Mandorla,🥛,bevande,150,Fulmineo al palato.
cons_elisir_salute,Elisir di Salute,🧉,bevande,350,Una nuova vita in una fiala.
cons_nuka_cola,Nuka-Cola,🥤,bevande,250,Tappi in tasca post-apocalisse nel cuore.
cons_fiaschetta_estus,Fiaschetta Estus,🍶,bevande,400,Sorseggia accanto al falò.
cons_torta_minecraft,Torta di Minecraft,🎂,dessert,300,The cake is a lie? Forse.
cons_gelato_sale_marino,Gelato al Sale Marino,🍦,dessert,280,Dolce e salato da custodi del Keyblade.
